Key,Page,English,Thai,Armenian,Russian,Arabic,Farsi,Georgian
planAndBilling.billingDetails.empty,planAndBilling,Add your billing details by click <b>change</b> button,เปลี่ยนรายละเอียดการชำระเงินโดยการคลิกปุ่ม <b>เปลี่ยน</b>,Ավելացրեք վճարման մանրամասները սեղմելով <b>փոխել</b> կոճակը,,أضف تفاصيل الفواتير الخاصة بك عن طريق النقر على زر <b>change</b>,,
planAndBilling.billingHistory.label,planAndBilling,Billing History,ประวัติการชำระเงิน,Վճարման պատմություն,,تاريخ الفواتير,,
planAndBilling.billingHistory.table.date.label,planAndBilling,Date,วันที่,Ամսաթիվ,,تاريخ,,
planAndBilling.billingHistory.table.empty.label,planAndBilling,No billing history,ไม่พบประวัติการชำระเงิน,Վճարման պատմություն չկա,,لا تاريخ الفواتير,,
planAndBilling.billingHistory.table.plan.label,planAndBilling,Plan,แผน,Փաթեթ,,باقة,,
planAndBilling.billingHistory.table.method.label,planAndBilling,Method,วิธี,Եղանակ,,طريقة,,
planAndBilling.billingHistory.table.paymentStatus.label,planAndBilling,Payment Status,สถานะการชำระเงิน,Վճարման կարգավիճակ,,حالة السداد,,
planAndBilling.billingHistory.table.amount.label,planAndBilling,Amount,จำนวนเงิน,Քանակը,,مبلغ,,
planAndBilling.billingHistory.paymentStatus.success,planAndBilling,Payment Successful,การชำระเงินสำเร็จ,Հաջողված Վճարում,,النجاح في الدفع,,
planAndBilling.billingHistory.paymentStatus.failure,planAndBilling,Payment Failure,การชำระเงินไม่สำเร็จ,Չհաջողված Վճարում,,فشل في الدفع,,
planAndBilling.billingHistory.paymentStatus.cancel,planAndBilling,Subscription Canceled,ยกเลิกการสมัครสมาชิก,Վճարման Կասեցում,,تم إلغاء الاشتراك,,
planAndBilling.billingHistory.paymentStatus.notRequired,planAndBilling,No Payment required,ไม่ต้องชำระเงิน,Չի պահանջում վճարում,,ليس مطلوب الدفع,,
planAndBilling.usageHistory.label,planAndBilling,Usage History,ประวัติการใช้งาน,Օգտագործման Պատմություն,,سجل الاستخدام,,
planAndBilling.usageHistory.table.date.label,planAndBilling,Date, วันที่,Ամսաթիվ,,تاريخ,,
planAndBilling.usageHistory.table.sentNotification.label,planAndBilling,Sent Notification,ส่งการแจ้งเตือนแล้ว,Ուղարկված Ծանուցումներ,,أرسل الإخطار,,
planAndBilling.usageHistory.table.startedFreeTrial.label,planAndBilling,Started Free Trial,เริ่มทดลองงานใช้ฟรี,Անվճար Փորձարկումը սկսել է,,بدأت التجربة المجانية,,
planAndBilling.usageHistory.table.beginning.label,planAndBilling,Beginning Balance,ยอดคงเหลือเริ่มต้น,Սկզբնական Մնացորդ,,الرصيد الابتدائي,,
planAndBilling.usageHistory.table.empty.label,planAndBilling,No usage history,ไม่มีประวัติการใช้งาน,Օգտագործման պատմություն չկա,,لا يوجد سجل للاستخدام,,
planAndBilling.usageHistory.table.subscriptionTerm.label,planAndBilling,Subscription Term,ประเภทการสมัครสมาชิก,Բաժանորդագրության Ժամկետ,,مدة الاشتراك,,
planAndBilling.usageHistory.table.subscriptionTerm.type,planAndBilling,"{type, select, monthly {Monthly} annual {Annual}}","{type, select, monthly {รายเดือน} annual {รายปี}}","{տիպը, ընտրել, ամսեկան {Ամսեկան} տարեկան {Տարեկան}}",,"{type, select, monthly {شهري} annual {سنة
}}",,
planAndBilling.usageHistory.table.subscriptionTerm.action,planAndBilling,"{previousType, select, monthly {Monthly} annual {Annual}} to {currentType, select, monthly {Monthly} annual {Annual}}","{previousType, select, monthly {รายเดือน} annual {รายปี}} เป็น {currentType, select, monthly {รายเดือน} annual {รายปี}}","{նախորդՏիպը, ընտրել, ամսեկան {Ամսեկան} տարեկան {Տարեկան}} դեպի {ընթացիկՏիպ, ընտրել, ամսեկան {Ամսեկան} տարեկան {Տարեկան}}",,"{previousType, select, monthly {شهري} annual {سنوي}} ألى {currentType, select, monthly {شهري} annual {سنوي}}",,
planAndBilling.usageHistory.table.description.label,planAndBilling,Description,คำอธิบาย,Նկարագրություն,,وصف,,
planAndBilling.usageHistory.table.earned.label,planAndBilling,Earned,ได้รับ,Վաստակած,,حصل,,
planAndBilling.usageHistory.table.sent.label,planAndBilling,Sent,ใช้ไป,Ուղարկված,,أرسلت,,
planAndBilling.usageHistory.table.balance.label,planAndBilling,Balance,คงเหลือ,Հաշիվ,,توازن,,
momentConfig.future,other,in %s,ใน %s,%s -ով,,,,
momentConfig.past,other,%s ago,%s ที่ผ่านมา,%s անց,,,,
momentConfig.s,other,a few seconds,ตอนนี้,մի քանի վայրկյան,,,,
momentConfig.m,other,a minute,1 นาที,մեկ րոպե,,,,
momentConfig.mm,other,%d minutes,%d นาที,%d րոպե,,,,
momentConfig.h,other,an hour,1 ชั่วโมง,մեկ ժամ,,,,
momentConfig.hh,other,%d hours,%d ชั่วโมง,%d ժամեր,,,,
momentConfig.d,other,a day,1 วัน,մեկ օր,,,,
momentConfig.dd,other,{number} days,{number} วัน,{number} օր,,,,
momentConfig.w,other,{number} week,{number} สัปดาห์,{number} շաբաթ,,,,
momentConfig.ww,other,{number} weeks,{number} สัปดาห์,{number} շաբաթ,,,,
momentConfig.M,other,a month,1 เดือน,մեկ ամիս,,,,
momentConfig.MM,other,%d months,%d เดือน,%d ամիսներ,,,,
momentConfig.y,other,a year,1 ปี,մեկ տարի,,,,
momentConfig.yy,other,%d years,%d ปี,%d տարիներ,,,,
humanizedTimeIndicator.justNow,other,Just now,ตอนนี้,Հենց հիմա,,في هذة اللحظة,,
humanizedTimeIndicator.yesterday,other,yesterday,เมื่อวาน,երեկ,,في الامس,,
humanizedTimeIndicator.fullUnitTimeInYearMonthWeekDisplayAgo,other,"{fullMonth} {dayInMonth}, {fullYear} at {timeInHourMinute} (about {numberOfUnit} {unitInName} ago)","{fullMonth} {dayInMonth}, {fullYear} เวลา {timeInHourMinute} (เมื่อ {numberOfUnit} {unitInName} ที่ผ่านมา)","{fullMonth} {dayInMonth}, {fullYear} ին {timeInHourMinute} (մոտ {numberOfUnit} {unitInName})",,"{fullMonth} {dayInMonth}, {fullYear} في {timeInHourMinute} (حوالي {numberOfUnit} {unitInName} قبل)",,
humanizedTimeIndicator.fullUnitTimeInYesterdayDisplayAgo,other,"{fullMonth} {dayInMonth}, {fullYear} at {timeInHourMinute} (yesterday)","{fullMonth} {dayInMonth}, {fullYear} เวลา {timeInHourMinute} (เมื่อวาน)","{fullMonth} {dayInMonth}, {fullYear} ին {timeInHourMinute} (երեկ)",,"{fullMonth} {dayInMonth}, {fullYear} في {timeInHourMinute} (بالأمس)",,
humanizedTimeIndicator.fullUnitTimeInDaysDisplayAgo,other,"{fullMonth} {dayInMonth}, {fullYear} at {timeInHourMinute} (about {numberOfUnit} days ago)","{fullMonth} {dayInMonth}, {fullYear} เวลา {timeInHourMinute} (เมื่อ {numberOfUnit} วันที่ผ่านมา)","{fullMonth} {dayInMonth}, {fullYear} ին {timeInHourMinute} (մոտ {numberOfUnit} օր առաջ)",,,,
humanizedTimeIndicator.fullUnitTimeInHoursMinutesDisplayAgo,other,{numberOfUnit} {unitInName} ago,{numberOfUnit} {unitInName} ที่ผ่านมา,{numberOfUnit} {unitInName} անց,,,,
humanizedTimeIndicator.year,other,year,ปี,տարի,,عام,,
humanizedTimeIndicator.years,other,years,ปี,տարիներ,,سنوات,,
humanizedTimeIndicator.month,other,month,เดือน,ամիս,,شهر,,
humanizedTimeIndicator.months,other,months,เดือน,ամիսներ,,الشهور,,
humanizedTimeIndicator.week,other,week,สัปดาห์,շաբաթ,,أسبوع,,
humanizedTimeIndicator.weeks,other,weeks,สัปดาห์,շաբաթներ,,أسابيع,,
humanizedTimeIndicator.day,other,day,วัน,օր,,يوم,,
humanizedTimeIndicator.days,other,days,วัน,օր,,أيام,,
humanizedTimeIndicator.hours,other,hours,ชั่วโมง,ժամեր,,ساعات,,
humanizedTimeIndicator.hour,other,hour,ชั่วโมง,ժամ,,ساعة,,
humanizedTimeIndicator.min,other,min,นาที,րոպե,,دقيقة,,
humanizedTimeIndicator.mins,other,mins,นาที,րոպե,,دقائق,,
warningEndTrial.remain.label,ToolbarLayoutMain,"<b>Your free trial is ending in {remainDays, plural, =0 {today} one {# day} other {# days}}.</b> Once this trial is over, the advanced features of NotifyMe will no longer be available. To continue using these features after your trial period has ended, please <l1>upgrade your plan</l1>","<b>การทดลองใช้ฟรีจะสิ้นสุดใน {remainDays, plural, one {# วัน} other {# วัน}}.</b> เมื่อการทดลองใช้ฟรีสิ้นสุดลงแล้ว การใช้งานที่สำคัญบางส่วนจะไม่สามารถใช้งานได้ เพื่อการใช้งานได้ครอบคลุมทั้งหมดหลังจากการทดลองใช้ฟรีสิ้นสุดลง โปรด <l1>เลือกแผนที่คุณต้องการ</l1>","<b>Ձեր անվճար փորձարկումը կավարտվի {remainDays, plural, one {# օր} other {# օրեր}}.</b> Անվճար փորձարկման ավարտվելուն պես NotifyMe-ի ընդլայնված հնարավորություններն այլևս հասանելի չեն լինի։ Եթե ցանկանում եք շարունակել օգտվել ընդլայնված հնարավորություններից, ապա անվճար փորձարկման ավարտից հետո խնդրում ենք  <l1>Կապնվել Հաճախորդների Սպասարկման Մասնագետին</l1>",,"<b> تنتهي النسخة التجريبية المجانية الخاصة بك في
{remainDays, plural, one {# day} other {# days}}.</b>
بمجرد انتهاء هذه التجربة ، لن تتوفر الميزات المتقدمة لـ NotifyMe. لمتابعة استخدام هذه الميزات بعد انتهاء الفترة التجريبية ، يرجى <l1> الاتصال بدعم العملاء </ l1>",,
